Name,Metres,Feet,Drop,Latitude,Longitude,Classification,Area
Scafell Pike,978,3209,912,54.454167,-3.211389,"Ma,F,Sim,Hew,N,W,B",Lake District - Southern Fells
Helvellyn,950,3117,712,54.526944,-3.0175,"Ma,F,Sim,Hew,N,W,B",Lake District - Eastern Fells
Ben Nevis,1345,4413,1345,56.79685,-5.003508,"Ma,M,Sim",Fort William to Loch Treig
Snowdon / Yr Wyddfa,1085,3560,1039,53.068504,-4.076277,"Ma,F,Sim,Hew,N",Snowdonia
